"respondentid","RCa10","WA01_c","WA02_c","WA03_c","WA04_c","WA07_c","WB01_c","WB04_c","WB05_c","WC03_c","WC04_c","WC05_c","WC06_c","WD01_c","WD02_c","WE01_c","WFa01_c","WFa02_c","WFa03_c","WFb02_c","WFc01_c","WFC02_c","WG01_c","WG02_c","WHb01_c","WHc01_c","WHc02_c","WHd01_c","RD01_c","ABo04_c","ABo05_c","ABo06_c","ABo07_c","ABo08_c","ABo09_c","ABo10_c","ABo11_c","ABo12_c","ABo13_c","ABo14_c","ABo15_c","CA02_c","CBa01_c","CBa02_c","CBb01_c","CCa02_c","CDa05_c","CDb01_c","CDd01_c","CDd04_c","CEa01_c","CFb01_c","EB01_c","EC01_c","ED01_c","EE01_c","KB01_c","KF03_c","MA01_c","MA04_c","MB01_c","MB02_c","MB03_c","SB01_c","SB02_c"
10824464,NA,"female",44,"some college, no degree","$100,000 to less than $150,000",NA,"working full time","work for someone else","yes, other household member","white or white hispanic","yes",NA,NA,"few times a year","catholic","no one in household has served",1,0,"married",NA,"wisconsin (wi)","rural","yes",1,NA,"yes","no",NA,"bush","somewhat liberal",5,5,3,4,NA,NA,4,5,4,NA,"no","wrong track","somewhat better","same","cut taxes","increase regulation",NA,"set withdrawal deadline","somewhat oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","none",0,7,"several hours per day",3,NA,"independent","moderate",NA,NA,NA,999,998
10824573,"Yes","male",73,"graduate or professional degree","no answer","no answer","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",2,0,"married",NA,"new york (ny)","suburban","no",3,NA,"yes","no",NA,"kerry","somewhat liberal",9,9,9,9,NA,NA,9,9,9,NA,"no","wrong track","much worse","somewhat better","raise taxes if necessary",NA,NA,"set withdrawal deadline","somewhat oppose",NA,"available to anyone","environment should be top priority","none",7,7,NA,3,NA,"democrat","somewhat liberal",NA,NA,NA,7,7
10824728,NA,"male",36,"technical or vocational school after high school",NA,"yes, $10,000-$25,000","working full time","work for someone else","no union members in household","black, african american, or black hispanic","yes",NA,NA,"once or twice a month","no denomination","no one in household has served",1,2,"married","owned with mortgage or loan","district of columbia (dc)","urban","yes",1,NA,"yes","no","other government program","kerry","moderate",10,10,10,10,NA,NA,10,10,10,NA,"no","wrong track","same","somewhat worse","cut taxes","increase competition",NA,"withdraw as soon as possible","somewhat favor",NA,"available with stricter limits","more important to keep economy growing","three hours but less than four",1,7,"several hours per day",7,NA,"independent","moderate",NA,NA,NA,998,998
10824775,"Yes","female",60,"graduate or professional degree",NA,"yes, more than $25,000","working full time","work for someone else","no union members in household","white or white hispanic","no","yes",50,"few times a year","jewish","no one in household has served",3,0,"married","owned with mortgage or loan","new york (ny)","suburban","yes",2,NA,"no",NA,NA,"kerry","somewhat liberal",6,9,5,9,NA,NA,9,9,7,NA,"no","wrong track","much better","somewhat better","raise taxes if necessary","increase regulation",NA,"withdraw as soon as possible","somewhat favor",NA,"available to anyone","environment should be top priority","one hour but less than two",0,7,"almost every day",7,NA,"democrat","somewhat conservative",NA,"strongly disagree","somewhat disagree",9,9
10824832,"Yes","female",45,"high school diploma or equivalent","$15,000 to less than $25,000",NA,"working part time","self-employed","no union members in household","black, african american, or black hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",2,2,"divorced",NA,"alabama (al)","urban","yes",1,NA,"no",NA,NA,"did not vote for president","moderate",10,10,6,6,NA,NA,10,6,6,NA,"no","wrong track","much better","much better","raise taxes if necessary","increase regulation",NA,"withdraw as soon as possible","somewhat oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","none",3,7,"at least once per week",4,NA,"democrat","moderate",NA,NA,NA,5,5
10824983,"Yes","male",53,"four-year college degree","$100,000 to less than $150,000",NA,"retired",NA,"yes, other household member","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",1,1,"married",NA,"new york (ny)","suburban","yes",2,NA,"yes","no",NA,"kerry","somewhat liberal",5,5,5,5,NA,NA,10,5,5,NA,"no","wrong track","somewhat better","somewhat better","cut taxes","increase competition",NA,"withdraw as soon as possible","strongly oppose",NA,"available to anyone","environment should be top priority","two hours but less than three",7,7,"almost every day",7,NA,"independent","somewhat liberal",NA,"strongly agree","strongly disagree",5,5
10824985,"Yes","female",72,"some college, no degree","$25,000 to less than $35,000",NA,"retired",NA,"yes, respondent","black, african american, or black hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",2,0,"widowed",NA,"virginia (va)","suburban","yes",2,NA,"no",NA,NA,"kerry","somewhat liberal",10,10,9,10,NA,NA,10,10,10,NA,"no","wrong track","somewhat better","somewhat better","none of these","increase regulation",NA,"withdraw as soon as possible","don't know",NA,"none of these","environment should be top priority","five hours",0,2,"rarely",7,NA,"democrat","very liberal",NA,"strongly disagree","strongly agree",9,998
10825069,"Don't know","female",67,"technical or vocational school after high school",NA,"yes, more than $25,000","working part time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, respondent",1,0,"widowed",NA,"south dakota (sd)","urban","yes",1,NA,"no",NA,NA,"bush","moderate",7,7,5,7,NA,NA,8,5,5,NA,"no","wrong track","much better","much worse","none of these","increase regulation",NA,"keep troops until stable government","strongly oppose",NA,"not permitted except for rape, incest, or life risk","environment should be top priority","two hours but less than three",0,0,"few times per month",0,NA,"independent","very conservative",NA,NA,NA,10,10
10825133,"Yes","female",62,"four-year college degree","$50,000 to less than $75,000","yes, $5,000-$10,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","other type of christian","no one in household has served",1,0,"never married",NA,"california (ca)","suburban","yes",1,NA,"no",NA,NA,"kerry","moderate",10,10,8,8,NA,NA,10,9,10,NA,"no","wrong track","much better","same","none of these","neither",NA,"set withdrawal deadline","strongly oppose",NA,"available to anyone","neither","none",3,0,"almost every day",6,NA,"democrat","moderate",NA,"strongly disagree","strongly disagree",8,8
10825150,"Yes","male",65,"four-year college degree",NA,"no money invested","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","catholic","yes, respondent",1,0,"married","owned with mortgage or loan","maine (me)","suburban","yes",1,NA,"yes","no",NA,"kerry","somewhat liberal",8,9,7,9,NA,NA,10,7,9,NA,"no","wrong track","don't know","somewhat better","keep taxes as they are","increase regulation",NA,"withdraw as soon as possible","strongly oppose",NA,"available to anyone","neither","two hours but less than three",0,7,"at least once per week",2,NA,"democrat","very liberal",NA,NA,NA,5,5
10825186,"Yes","male",65,"some college, no degree",NA,"no money invested","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"never","no religion / atheist / agnostic","yes, other household member",4,1,"married",NA,"michigan (mi)","suburban","yes",1,NA,"yes","no",NA,"kerry","somewhat liberal",5,6,4,5,NA,NA,4,6,4,NA,"no","wrong track","somewhat better","same","cut taxes","increase regulation",NA,"set withdrawal deadline","strongly oppose",NA,"available with stricter limits","more important to keep economy growing","three hours but less than four",0,1,"almost every day",7,NA,"independent","moderate",NA,NA,NA,5,5
10825188,NA,"female",57,"graduate or professional degree",NA,"no money invested","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","no one in household has served",1,0,"never married","owned free and clear","kentucky (ky)","rural","yes",1,NA,"no",NA,"employer plan","bush","very liberal",0,0,0,0,NA,NA,0,0,0,NA,"no","don't know","somewhat worse","same","none of these","neither",NA,"set withdrawal deadline","somewhat oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","one hour but less than two",0,7,"at least once per week",7,NA,"republican","somewhat conservative",NA,"somewhat agree","somewhat agree",10,10
10825439,"No","female",46,"four-year college degree","$75,000 to less than $100,000","yes, more than $25,000","homemaker",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","protestant","no one in household has served",1,2,"married",NA,"south carolina (sc)","suburban","yes",1,NA,"yes","no",NA,"bush","moderate",8,7,8,8,NA,NA,9,7,8,NA,"no","wrong track","same","same","cut taxes",NA,NA,"set withdrawal deadline","somewhat oppose",NA,"available to anyone","environment should be top priority","two hours but less than three",0,0,"at least once per week",7,NA,"republican","moderate",NA,"somewhat disagree","strongly disagree",8,8
10825454,"Yes","male",83,"high school diploma or equivalent","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","yes, respondent",1,0,"married",NA,"michigan (mi)","rural","no",1,NA,"yes","no",NA,"kerry","somewhat liberal",7,9,6,5,NA,NA,9,9,4,NA,"no","wrong track","same","somewhat better","keep taxes as they are","increase competition",NA,"withdraw as soon as possible","strongly oppose",NA,"available to anyone","more important to keep economy growing","two hours but less than three",998,0,NA,2,NA,"democrat","moderate",NA,NA,NA,9,8
10825558,"Don't know","male",41,"graduate or professional school after college, no degree","$150,000 or more","yes, more than $25,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","catholic","yes, other household member",1,2,"married",NA,"nevada (nv)","urban","yes",1,NA,"yes","yes",NA,"bush","somewhat liberal",6,5,5,7,NA,NA,5,7,5,NA,"yes","wrong track","much better","much better","keep taxes as they are","increase regulation",NA,"keep troops until stable government","somewhat favor",NA,"available with stricter limits","environment should be top priority","none",7,0,"several hours per day",5,NA,"republican","somewhat conservative",NA,NA,NA,7,7
10825745,NA,"male",66,"high school diploma or equivalent",NA,"no money invested","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","no denomination","yes, respondent",3,2,"married","owned free and clear","washington (wa)","rural","no",1,NA,"yes","no","medicare or medicaid","bush","somewhat conservative",9,9,5,8,NA,NA,9,9,10,NA,"no","wrong track","somewhat better","somewhat better","keep taxes as they are","increase competition",NA,"withdraw as soon as possible","strongly oppose",NA,"available to anyone","more important to keep economy growing","four hours but less than five",1,0,NA,7,NA,"independent","somewhat liberal",NA,"strongly agree","strongly agree",5,5
10825764,"Yes","female",60,"some college, no degree",NA,"yes, more than $25,000","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","other type of christian","yes, other household member",1,0,"widowed","owned with mortgage or loan","california (ca)","suburban","no",1,NA,"no",NA,NA,"kerry","very liberal",9,9,9,9,NA,NA,9,9,9,NA,"no","wrong track","somewhat better","somewhat better","cut taxes","increase regulation",NA,"withdraw as soon as possible","strongly oppose",NA,"available to anyone","environment should be top priority","five hours",6,0,NA,7,NA,"democrat","somewhat liberal",NA,"strongly disagree","somewhat agree",5,5
10825804,"Yes","female",55,"high school diploma or equivalent",NA,"yes, more than $25,000","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",1,0,"married",NA,"maryland (md)","suburban","no",1,NA,"yes","yes",NA,"kerry","somewhat conservative",4,5,6,7,NA,NA,7,5,6,NA,"no","wrong track","much worse","much worse","cut taxes","increase competition",NA,"withdraw as soon as possible","somewhat oppose",NA,"none of these","more important to keep economy growing","five hours",3,0,NA,7,NA,"democrat","somewhat liberal",NA,"somewhat agree","strongly agree",4,5
10825909,NA,"male",43,"high school diploma or equivalent","$35,000 to less than $50,000",NA,"working full time","work for someone else","no union members in household","black, african american, or black hispanic","yes",NA,NA,"once a week","no denomination","no one in household has served",1,2,"divorced",NA,"tennessee (tn)","urban","yes",1,NA,"no",NA,NA,"kerry","very liberal",10,10,10,10,NA,NA,7,10,10,NA,"no","wrong track","much worse","somewhat worse","cut taxes","increase competition",NA,"withdraw as soon as possible","strongly favor",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","don't know",5,0,"few times per month",7,NA,"democrat","very liberal",NA,"strongly disagree","strongly agree",7,7
10825920,"No","male",66,"some college, no degree","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","no one in household has served",1,0,"divorced",NA,"missouri (mo)","urban","yes",1,NA,"yes","no",NA,"kerry","somewhat liberal",3,7,0,3,NA,NA,8,3,0,NA,"no","no answer","same","same","raise taxes if necessary","increase competition",NA,"keep troops until stable government","somewhat oppose",NA,"available to anyone","more important to keep economy growing","five hours",0,0,"few times per month",0,NA,"democrat","somewhat liberal",NA,NA,NA,8,8
10826027,NA,"male",64,"associate's or two-year college degree","$100,000 to less than $150,000","no money invested","working part time","self-employed","no union members in household","white or white hispanic","yes",NA,NA,"once a week","other type of christian","no one in household has served",3,0,"married",NA,"florida (fl)","urban","yes",1,NA,"no",NA,NA,"don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","right direction","much better","same","don't know","increase regulation",NA,"keep troops until stable government","somewhat oppose",NA,"not permitted except for rape, incest, or life risk","environment should be top priority","two hours but less than three",0,7,"several hours per day",7,NA,"don't know","moderate",NA,"somewhat disagree","strongly disagree",998,998
10826304,NA,"female",18,"some high school, no diploma","$10,000 to less than $15,000",NA,"working part time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","no religion / atheist / agnostic","no one in household has served",1,1,"never married",NA,"kentucky (ky)","suburban","yes",1,NA,"yes","no",NA,"did not vote for president","somewhat liberal",6,1,1,5,NA,NA,0,0,5,NA,"yes","wrong track","much better","much better","raise taxes if necessary","increase regulation",NA,"withdraw as soon as possible","strongly favor",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","two hours but less than three",0,0,"at least once per week",2,NA,"independent","moderate",NA,NA,NA,5,5
10826366,NA,"male",63,"associate's or two-year college degree","$35,000 to less than $50,000",NA,"working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","other type of christian","yes, respondent",2,0,"married",NA,"utah (ut)","suburban","yes",1,NA,"yes","yes",NA,"bush","very liberal",3,5,3,3,NA,NA,6,4,4,NA,"no","wrong track","much worse","same","keep taxes as they are","increase competition",NA,"set withdrawal deadline","somewhat favor",NA,"available with stricter limits","more important to keep economy growing","two hours but less than three",7,7,"several hours per day",7,NA,"independent","somewhat conservative",NA,"somewhat disagree","somewhat disagree",7,7
10826386,"Yes","female",57,"graduate or professional degree","no answer",NA,"working part time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",2,0,"never married",NA,"california (ca)","suburban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",7,7,5,7,NA,NA,8,8,6,NA,"yes","wrong track","somewhat better","somewhat better","keep taxes as they are","increase regulation",NA,"set withdrawal deadline","somewhat oppose",NA,"available to anyone","environment should be top priority","five hours",3,4,"at least once per week",3,NA,"democrat","somewhat liberal",NA,NA,NA,5,5
10826479,"No","female",61,"some college, no degree","$75,000 to less than $100,000","yes, more than $25,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","yes, other household member",3,0,"married",NA,"virginia (va)","urban","yes",1,NA,"no",NA,NA,"bush","moderate",0,5,0,3,NA,NA,0,0,3,NA,"no","wrong track","same","same","raise taxes if necessary",NA,NA,"keep troops until stable government","strongly oppose",NA,"available to anyone","more important to keep economy growing","two hours but less than three",0,7,"several hours per day",4,NA,"republican","moderate",NA,"somewhat agree","strongly agree",5,5
10826523,"No","male",66,"some high school, no diploma",NA,"yes, more than $25,000","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","yes, respondent",1,0,"married","owned free and clear","minnesota (mn)","rural","yes",1,NA,"yes","no",NA,"bush","very liberal",6,6,6,6,NA,NA,7,5,6,NA,"no","wrong track","much better","much better","raise taxes if necessary","increase competition",NA,"set withdrawal deadline","strongly favor",NA,"available with stricter limits","environment should be top priority","two hours but less than three",0,2,"several hours per day",1,NA,"independent","moderate",NA,NA,NA,5,5
10826620,"Don't know","male",37,"four-year college degree",NA,"yes, $10,000-$25,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","protestant","yes, other household member",1,2,"married","owned with mortgage or loan","maine (me)","suburban","yes",1,NA,"no",NA,NA,"bush","somewhat liberal",6,5,5,5,NA,NA,7,7,5,NA,"no","wrong track","somewhat better","somewhat better","keep taxes as they are","increase competition",NA,"set withdrawal deadline","somewhat favor",NA,"available with stricter limits","environment should be top priority","two hours but less than three",0,2,"several hours per day",3,NA,"independent","moderate",NA,"somewhat disagree","somewhat agree",7,7
10826718,"Don't know","female",26,"some college, no degree",NA,"no money invested","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","no one in household has served",2,0,"married",NA,"minnesota (mn)","rural","yes",1,NA,"yes","no",NA,"bush","somewhat liberal",8,8,5,6,NA,NA,7,6,6,NA,"no","don't know","somewhat better","somewhat worse","raise taxes if necessary","increase competition",NA,"set withdrawal deadline","strongly favor",NA,"available with stricter limits","more important to keep economy growing","none",0,2,"almost every day",4,NA,"republican","moderate",NA,NA,NA,7,7
10826820,"Yes","male",78,"four-year college degree","$15,000 to less than $25,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"never","no answer","yes, respondent",1,0,"married",NA,"california (ca)","urban","yes",1,NA,"yes","no",NA,"kerry","somewhat conservative",9,9,10,10,NA,NA,9,10,10,NA,"no","wrong track","same","somewhat better","keep taxes as they are","increase regulation",NA,"withdraw as soon as possible","strongly oppose",NA,"not permitted except for rape, incest, or life risk","environment should be top priority","two hours but less than three",0,0,"almost every day",5,NA,"democrat","somewhat conservative",NA,"somewhat agree","strongly agree",8,0
10826840,"Yes","male",49,"associate's or two-year college degree","don't know","yes, less than $5,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"few times a year","no denomination","no one in household has served",3,0,"never married",NA,"indiana (in)","urban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",8,8,7,8,NA,NA,8,8,8,NA,"no","wrong track","much worse","much worse","cut taxes","increase competition",NA,"keep troops until stable government","strongly oppose",NA,"available to anyone","environment should be top priority","four hours but less than five",0,1,"almost every day",2,NA,"independent","somewhat liberal",NA,"somewhat agree","somewhat agree",5,5
10826879,"Yes","male",65,"four-year college degree","$35,000 to less than $50,000",NA,"retired",NA,"yes, respondent","black, african american, or black hispanic","yes",NA,NA,"once or twice a month","protestant","yes, respondent",2,0,"married",NA,"massachusetts (ma)","urban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",9,9,7,10,NA,NA,10,8,10,NA,"no","wrong track","much better","much better","cut taxes","increase competition",NA,"set withdrawal deadline","somewhat oppose",NA,"available to anyone","environment should be top priority","three hours but less than four",0,7,"almost every day",7,NA,"democrat","somewhat liberal",NA,NA,NA,9,9
10826919,"No","female",999,"some college, no degree","$15,000 to less than $25,000","yes, $10,000-$25,000","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"never","no denomination","no one in household has served",1,0,"widowed",NA,"florida (fl)","suburban","no",1,NA,"no",NA,NA,"bush","very liberal",0,1,0,0,NA,NA,1,0,0,NA,"yes","wrong track","somewhat better","somewhat better","keep taxes as they are","no answer",NA,"keep troops until stable government","don't know",NA,"available to anyone","more important to keep economy growing","one hour but less than two",0,7,NA,7,NA,"independent","moderate",NA,NA,NA,998,998
10827169,"Don't know","female",51,"graduate or professional school after college, no degree",NA,"yes, more than $25,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","other type of christian","no one in household has served",1,999,"no answer",NA,"minnesota (mn)","urban","yes",1,NA,"no answer",NA,NA,"bush","very liberal",0,0,0,0,NA,NA,5,0,0,NA,"no","no answer","somewhat better","somewhat better","cut taxes","increase competition",NA,"keep troops until stable government","strongly oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","less than one hour",4,0,"almost every day",5,NA,"republican","very conservative",NA,"somewhat disagree","strongly agree",999,999
10827334,"No","male",65,"high school diploma or equivalent","$50,000 to less than $75,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","no one in household has served",3,0,"married",NA,"tennessee (tn)","suburban","yes",1,NA,"yes","yes",NA,"bush","very liberal",0,0,0,0,NA,NA,0,0,0,NA,"yes","wrong track","somewhat better","same","cut taxes","increase regulation",NA,"keep troops until stable government","strongly oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","two hours but less than three",7,7,"several hours per day",7,NA,"republican","very conservative",NA,NA,NA,5,8
10827375,"Yes","female",45,"graduate or professional school after college, no degree",NA,"yes, more than $25,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once or twice a month","catholic","no one in household has served",2,3,"married",NA,"louisiana (la)","suburban","yes",1,NA,"no",NA,NA,"kerry","very liberal",8,9,7,8,NA,NA,9,8,8,NA,"no","wrong track","somewhat better","same","raise taxes if necessary","increase regulation",NA,"set withdrawal deadline","strongly oppose",NA,"available with stricter limits","environment should be top priority","two hours but less than three",0,0,"almost every day",7,NA,"democrat","somewhat liberal",NA,"strongly disagree","somewhat disagree",998,998
10827377,"No","female",50,"four-year college degree","$25,000 to less than $35,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"few times a year","protestant","yes, respondent",1,0,"never married",NA,"mississippi (ms)","suburban","no",1,NA,"yes","no",NA,"bush","very liberal",0,0,0,0,NA,NA,0,0,0,NA,"no","wrong track","same","same","cut taxes","increase competition",NA,"keep troops until stable government","somewhat oppose",NA,"available with stricter limits","more important to keep economy growing","none",0,7,NA,0,NA,"republican","moderate",NA,"strongly agree","strongly agree",5,5
10827470,"No","female",41,"graduate or professional school after college, no degree","$35,000 to less than $50,000",NA,"homemaker",NA,"no union members in household","white or white hispanic","yes",NA,NA,"more than once a week","protestant","no one in household has served",2,6,"married",NA,"indiana (in)","urban","yes",1,NA,"no",NA,NA,"bush","somewhat liberal",3,2,2,5,NA,NA,1,1,3,NA,"no","wrong track","same","same","cut taxes","increase competition",NA,"keep troops until stable government","strongly favor",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","none",0,3,"almost every day",2,NA,"republican","very conservative",NA,NA,NA,7,8
10827525,NA,"female",91,"some high school, no diploma","$10,000 to less than $15,000",NA,"retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"never","catholic","no one in household has served",1,0,"widowed",NA,"florida (fl)","suburban","no",1,NA,"no",NA,NA,"bush","don't know",10,10,10,10,NA,NA,10,10,10,NA,"no","wrong track","same","same","raise taxes if necessary","don't know",NA,"keep troops until stable government","somewhat favor",NA,"available to anyone","more important to keep economy growing","two hours but less than three",0,7,NA,1,NA,"independent","moderate",NA,NA,NA,10,10
10827730,NA,"male",46,"graduate or professional degree",NA,"yes, more than $25,000","working part time","work for someone else","yes, other household member","white or white hispanic","yes",NA,NA,"once or twice a month","catholic","yes, other household member",1,4,"married","owned with mortgage or loan","new york (ny)","urban","yes",1,NA,"no",NA,"employer plan","kerry","somewhat liberal",8,8,6,8,NA,NA,7,8,7,NA,"no","wrong track","much better","somewhat better","raise taxes if necessary","increase regulation",NA,"set withdrawal deadline","somewhat oppose",NA,"available to anyone","environment should be top priority","none",1,1,"almost every day",4,NA,"independent","somewhat liberal",NA,"somewhat disagree","somewhat disagree",999,999
10827741,"No","male",68,"graduate or professional degree",NA,"yes, more than $25,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"once a week","protestant","yes, respondent",1,0,"married",NA,"south carolina (sc)","urban","yes",1,NA,"yes","no",NA,"bush","somewhat liberal",7,6,7,7,NA,NA,7,6,5,NA,"no","wrong track","somewhat better","same","keep taxes as they are","increase regulation",NA,"keep troops until stable government","strongly favor",NA,"available to anyone","more important to keep economy growing","two hours but less than three",0,7,"several hours per day",7,NA,"republican","somewhat conservative",NA,"strongly disagree","somewhat disagree",6,8
10827764,"No","female",70,"some college, no degree",NA,"no money invested","retired",NA,"no union members in household","white or white hispanic","yes",NA,NA,"once a week","catholic","no one in household has served",1,0,"separated",NA,"new jersey (nj)","suburban","no",2,NA,"no",NA,NA,"bush","very liberal",0,0,0,0,NA,NA,1,0,0,NA,"don't know","wrong track","somewhat better","same","cut taxes","neither",NA,"keep troops until stable government","strongly oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","four hours but less than five",7,0,NA,7,NA,"republican","very conservative",NA,"strongly disagree","somewhat disagree",9,9
10827928,NA,"male",58,"four-year college degree","$75,000 to less than $100,000","yes, more than $25,000","working full time","work for someone else","yes, respondent","white or white hispanic","yes",NA,NA,"more than once a week","other type of christian","no one in household has served",3,0,"married",NA,"michigan (mi)","suburban","yes",1,NA,"no",NA,NA,"nader","somewhat liberal",6,6,4,5,NA,NA,6,5,5,NA,"no","wrong track","somewhat better","same","none of these",NA,NA,"set withdrawal deadline","somewhat favor",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","none",4,1,"almost every day",2,NA,"republican","somewhat conservative",NA,"somewhat agree","somewhat disagree",6,5
10828061,"Yes","female",48,"four-year college degree","$100,000 to less than $150,000","yes, more than $25,000","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","no denomination","no one in household has served",1,0,"never married",NA,"california (ca)","urban","yes",1,NA,"no",NA,NA,"kerry","somewhat liberal",9,10,9,9,NA,NA,10,9,9,NA,"no","wrong track","much worse","same","keep taxes as they are","increase regulation",NA,"set withdrawal deadline","somewhat favor",NA,"available to anyone","environment should be top priority","three hours but less than four",0,7,"several hours per day",4,NA,"democrat","somewhat liberal",NA,NA,NA,6,6
10828089,"Yes","female",53,"some college, no degree","$10,000 to less than $15,000","don't know","permanently disabled",NA,"no union members in household","white or white hispanic","yes",NA,NA,"never","protestant","no one in household has served",1,0,"divorced",NA,"maine (me)","urban","yes",1,NA,"no",NA,NA,"did not vote for president","don't know",10,10,10,10,NA,NA,10,10,10,NA,"no","wrong track","somewhat better","same","cut taxes","increase regulation",NA,"set withdrawal deadline","somewhat favor",NA,"available to anyone","environment should be top priority","one hour but less than two",0,0,"several hours per day",2,NA,"democrat","moderate",NA,"somewhat agree","strongly disagree",998,998
10828181,NA,"male",36,"high school diploma or equivalent",NA,"no money invested","working full time","self-employed","no union members in household","mixed race","yes",NA,NA,"more than once a week","no denomination","no one in household has served",2,3,"married",NA,"north carolina (nc)","urban","yes",1,NA,"yes","yes",NA,"kerry","very conservative",6,8,7,8,NA,NA,6,9,8,NA,"no","wrong track","somewhat better","somewhat better","cut taxes","increase regulation",NA,"withdraw as soon as possible","strongly oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","one hour but less than two",6,6,"several hours per day",6,NA,"republican","somewhat conservative",NA,"strongly disagree","somewhat disagree",7,4
10828195,"Yes","male",45,"high school diploma or equivalent",NA,"no money invested","working full time","work for someone else","no union members in household","white or white hispanic","yes",NA,NA,"never","no religion / atheist / agnostic","no one in household has served",1,0,"divorced","rented","wisconsin (wi)","suburban","yes",1,NA,"no",NA,NA,"did not vote for president","moderate",8,9,7,8,NA,NA,9,9,9,NA,"no","wrong track","somewhat better","somewhat better","cut taxes","increase regulation",NA,"set withdrawal deadline","somewhat oppose",NA,"not permitted except for rape, incest, or life risk","more important to keep economy growing","none",1,0,"several hours per day",4,NA,"independent","somewhat liberal",NA,"somewhat agree","somewhat agree",8,8
10828222,"No","female",26,"high school diploma or equivalent",NA,"no money invested","working full time","work for someone else","no union members in household","white or white hispanic","no","no",10,"once a week","catholic","no one in household has served",3,1,"never married",NA,"mississippi (ms)","rural","no",1,NA,"no",NA,NA,"did not vote for president","moderate",7,7,6,7,NA,NA,6,7,6,NA,"yes","wrong track","somewhat better","somewhat better","raise taxes if necessary","increase competition",NA,"set withdrawal deadline","strongly oppose",NA,"available with stricter limits","both equally","less than one hour",0,0,NA,1,NA,"independent","moderate",NA,NA,NA,6,6
